"Регион РФ(область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Филиал,РЭС,Комментарий,Id здания,Координаты,Время начала отключения,Время восстановления отключения,Код района,Код РЭС,Период отключения(в часах)
Ленинградская область,Всеволожский район,"СНТ «Восход»,  СНТ «Метеор»,  СНТ «Красный Маяк»,  СНТ «Электроприбор»,  СНТ им.Кулакова,  СНТ «Трансмашевец», СНТ «Метрополитеновец»,  СНТ «Управление Октябрьской железной дороги»,  СНТ «Рабочий»,  СНТ «Фрунзевец»,  СНТ «Балтиец»,  СНТ «Леспроект»,  ООО «Полюстрово»,  СНТ «Эскалатор»,  СНТ «Красная нить»,   СНТ «Севзапстрой»,  СНТ «Красная Заря» ,  СНТ «Турбостроитель»,  АСНТ «Рубикон»,  д.Васкелово  Лемболовская набережная,  МЦ «Борменталь» .",,Северные электрические сети,Сертоловский РЭС,,,,2023-09-20 10:00:00,2023-09-20 18:00:00,Всев,Серт,8
Санкт-Петербург,Красносельский район,Красное село,пр. Ленина,Южные электрические сети,Красносельский РЭС,ТП-407к отключение на 2 часа,,,2023-09-20 10:00:00,2023-09-20 17:00:00,Красс,Крас,7
Ленинградская область,Тосненский район,п. Сиголово,"Солнечная,  Заречная",Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания.",,,2023-09-20 10:00:00,2023-09-20 17:00:00,Тосн,Тосн,7
Ленинградская область,Тосненский район,д. Сидорово,д.21а,Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания.",,,2023-09-20 10:00:00,2023-09-20 17:00:00,Тосн,Тосн,7
Ленинградская область,Ломоносовский район,"д.Пигелево,  д. Кемяряйзи, д.Кемеряйзи,   д.Капорское,  ,  КП Аннинские высоты,  СНТ Колос 2",,Южные электрические сети,Красносельский РЭС,,,,2023-09-20 10:00:00,2023-09-20 20:00:00,Ломо,Крас,10
Ленинградская область,Ломоносовский район,д.Разбегаево,,Южные электрические сети,Красносельский РЭС,ТП-506,,,2023-09-20 10:00:00,2023-09-20 17:00:00,Ломо,Крас,7
Ленинградская область,Кингисеппский район,Солка-3,,Кингисеппские ЭС,Кингисеппский РЭС,,,,2023-09-20 10:00:00,2023-09-20 17:00:00,Кинг,Кинг,7
Ленинградская область,Лужский район,Пустынь,,Кингисеппские ЭС,Лужский РЭС,,,,2023-09-20 10:00:00,2023-09-22 17:00:00,Лужс,Лужс,7
Ленинградская область,Приозерский район,п.Приладожское часть, Б/о,Выборгские ЭС,Приозерский РЭС,ВЛ-10кВ ф.511-05 уч. от ЛР-97 до ТП-187 - чистка трасы от ДКР,,,2023-09-20 10:00:00,2023-09-20 17:00:00,Прио,Прио,7
Ленинградская область,Тихвинский район," д.Казалма,  д.Леошино,  д.Щекотовицы,  д.Малое Усадище",,Тихвинские ЭС,Бокситогорский РЭС,,,,2023-09-20 10:00:00,2023-09-20 16:00:00,Тихв,Бокс,6
Ленинградская область,Волосовский район,"Жилгородок, Ронковицы, Ольхово, Греблово, Медниково","население,  котельные,  водозаборы",Гатчинские ЭС,Ломоносовский РЭС,Плановые работы на ВЛ 10кВ ,,,2023-09-20 09:00:00,2023-09-20 13:00:00,Воло,Ломо,4
